gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0039518,Treyton Welch,NO,TE,4,5.0,1.0,healthy,0.97,,,284.9,3,0,0.008,Juwan Johnson (healthy); Noah Fant (healthy); Oscar Delp (healthy)
00-0040244,Moliki Matavao,NO,TE,5,6.0,1.0,ir,0.02,Knee,,712.6,4,0,0.008,Juwan Johnson (healthy); Noah Fant (healthy); Oscar Delp (healthy); Treyton Welch (healthy)
00-0037239,Chris Olave,NO,WR,1,1.0,0.0,healthy,0.97,,,10.1,0,0,0.0,nobody
00-0039424,Devaughn Vele,NO,WR,2,2.0,0.0,healthy,0.97,,,69.8,1,0,0.008,Chris Olave (healthy)
00-0041067,Bryce Lance,NO,WR,3,3.0,0.0,healthy,0.97,,,36.6,2,0,0.014,Chris Olave (healthy); Devaughn Vele (healthy)
00-0041099,Barion Brown,NO,WR,4,4.0,0.0,questionable,0.72,Hamstring,,241.8,3,0,0.016,Chris Olave (healthy); Devaughn Vele (healthy); Bryce Lance (healthy)
00-0041029,Jordyn Tyson,NO,WR,5,11.0,6.0,ir,0.02,Hamstring,,376.5,4,0,0.024,Chris Olave (healthy); Devaughn Vele (healthy); Bryce Lance (healthy); Barion Brown (questionable)
00-0039623,Mason Tipton,NO,WR,6,9.0,3.0,pup,0.02,Groin,,572.6,5,1,0.024,Chris Olave (healthy); Devaughn Vele (healthy); Bryce Lance (healthy); Barion Brown (questionable); Jordyn Tyson (ir)
00-0031503,Jameis Winston,NYG,QB,1,1.0,0.0,healthy,0.97,,,44.1,0,0,0.0,nobody
00-0040691,Jaxson Dart,NYG,QB,2,3.0,1.0,out,0.02,Knee - MCL,,17.3,1,0,0.0,Jameis Winston (healthy)
00-0040715,Cam Skattebo,NYG,RB,1,1.0,0.0,healthy,0.97,,,51.0,0,0,0.0,nobody
00-0035250,Devin Singletary,NYG,RB,2,2.0,0.0,healthy,0.97,,,20.1,1,0,0.015,Cam Skattebo (healthy)
00-0036893,Najee Harris,NYG,RB,3,3.0,0.0,healthy,0.97,,,40.0,2,0,0.021,Cam Skattebo (healthy); Devin Singletary (healthy)
00-0039384,Tyrone Tracy Jr.,NYG,RB,4,4.0,0.0,healthy,0.97,,,40.1,3,0,0.025,Cam Skattebo (healthy); Devin Singletary (healthy); Najee Harris (healthy)
00-0037838,Isaiah Likely,NYG,TE,1,1.0,0.0,healthy,0.97,,,51.0,0,0,0.0,nobody
00-0039847,Theo Johnson,NYG,TE,2,2.0,0.0,healthy,0.97,,,39.0,1,0,0.005,Isaiah Likely (healthy)
,,NYG,TE,3,,,unknown,0.85,,,,2,0,0.007,Isaiah Likely (healthy); Theo Johnson (healthy)
00-0040225,Thomas Fidone II,NYG,TE,4,4.0,0.0,healthy,0.97,,,1381.7,3,0,0.007,Isaiah Likely (healthy); Theo Johnson (healthy); nan (unknown)
00-0039337,Malik Nabers,NYG,WR,1,1.0,0.0,questionable,0.72,Shoulder,,17.4,0,0,0.0,nobody
00-0041042,Malachi Fields,NYG,WR,2,2.0,0.0,healthy,0.97,,,49.3,1,0,0.087,Malik Nabers (questionable)
00-0036309,Darnell Mooney,NYG,WR,3,3.0,0.0,healthy,0.97,,,39.8,2,0,0.091,Malik Nabers (questionable); Malachi Fields (healthy)
00-0031235,Odell Beckham Jr.,NYG,WR,4,4.0,0.0,healthy,0.97,,,39.1,3,0,0.094,Malik Nabers (questionable); Malachi Fields (healthy); Darnell Mooney (healthy)
00-0037837,Calvin Austin III,NYG,WR,5,7.0,2.0,ir,0.02,Knee,,663.7,4,0,0.095,Malik Nabers (questionable); Malachi Fields (healthy); Darnell Mooney (healthy); Odell Beckham Jr. (healthy)
00-0035645,Gunner Olszewski,NYG,WR,6,6.0,0.0,ir,0.02,Achilles,,2751.1,5,1,0.095,Malik Nabers (questionable); Malachi Fields (healthy); Darnell Mooney (healthy); Odell Beckham Jr. (healthy); Calvin Austin III (ir)
00-0030565,Geno Smith,NYJ,QB,1,1.0,0.0,healthy,0.97,,,34.1,0,0,0.0,nobody
00-0041056,Cade Klubnik,NYJ,QB,2,3.0,1.0,healthy,0.97,,,572.2,1,0,0.0,Geno Smith (healthy)
00-0038120,Breece Hall,NYJ,RB,1,1.0,0.0,healthy,0.97,,,1.3,0,0,0.0,nobody
00-0039794,Braelon Allen,NYJ,RB,2,2.0,0.0,healthy,0.97,,,61.1,1,0,0.017,Breece Hall (healthy)
00-0039798,Isaiah Davis,NYJ,RB,3,3.0,0.0,healthy,0.97,,,39.0,2,0,0.024,Breece Hall (healthy); Braelon Allen (healthy)
00-0036842,Kene Nwangwu,NYJ,RB,4,5.0,1.0,questionable,0.72,Back,,15.1,3,0,0.025,Breece Hall (healthy); Braelon Allen (healthy); Isaiah Davis (healthy)
00-0041239,Chip Trayanum,NYJ,RB,5,,,healthy,0.97,,,,4,0,0.027,Breece Hall (healthy); Braelon Allen (healthy); Isaiah Davis (healthy); Kene Nwangwu (questionable)
00-0041032,Kenyon Sadiq,NYJ,TE,1,1.0,0.0,healthy,0.97,,,43.7,0,0,0.0,nobody
00-0040736,Mason Taylor,NYJ,TE,2,4.0,2.0,doubtful,0.28,Thumb,,21.6,1,0,0.004,Kenyon Sadiq (healthy)
